first_seen_at_timestamp,first_seen_date,first_seen_weekday,first_seen_hour,category,location,lat,lon
2024-05-30T00:26:00,2024-05-30,4,0,Wilder Müll,In der Nähe von Heutingsheimer Straße 8,48.843392756211,9.1606014909458
2024-05-30T00:26:00,2024-05-30,4,0,Sonstiges,In der Nähe von Emil-Schuler-Platz 1,48.8311928,9.1750653
2024-05-30T00:26:00,2024-05-30,4,0,Wilder Müll,In der Nähe von Brandenkopfweg 56,48.738712528184,9.1192491478737
2024-05-30T00:26:00,2024-05-30,4,0,Wilder Müll,"In der Nähe von Eheweiblen, Gew.",48.752126508994,9.2464948662448
2024-05-30T00:26:00,2024-05-30,4,0,Wilder Müll,In der Nähe von Gärtnerstraße 20,48.756761471776,9.2558305385543
2024-05-30T00:26:00,2024-05-30,4,0,Gefahrenstelle,Urbansplatz 12,48.780772500125,9.1890476029512
2024-05-30T00:26:00,2024-05-30,4,0,Sonstiges,Teichstraße 14,48.775733733685,9.2054162586925
2024-05-30T00:26:00,2024-05-30,4,0,Sonstiges,Seestraße 68,48.786011379359,9.1696268867184
2024-05-30T00:26:00,2024-05-30,4,0,Schlagloch,Triebweg 121,48.80737563859,9.1365899264505
2024-05-30T00:26:00,2024-05-30,4,0,Sonstiges,In der Nähe von Haußmannstraße 38,48.7813922,9.1921731
2024-05-30T00:26:00,2024-05-30,4,0,Straßeneinlauf - verstopft,In der Nähe von Deckerstraße 35,48.80085233451,9.2239067973252
2024-05-30T00:26:00,2024-05-30,4,0,Straße - Schäden,In der Nähe von Fastnachtsbrunnen (Kronprinzstraße / Gymnasiumstraße),48.776036041152,9.1748809616706
2024-05-30T00:26:00,2024-05-30,4,0,Sonstiges,In der Nähe von Skateranlage (König-Karl-Brücke),48.79958667922,9.2128502299977
2024-05-30T00:26:00,2024-05-30,4,0,Wilder Müll,In der Nähe von Dennerstraße 100,48.803165797004,9.2320452684504
2024-05-30T00:26:00,2024-05-30,4,0,Sonstiges,In der Nähe von Rüderner Straße 32,48.763707017974,9.2735344770828
2024-05-30T00:26:00,2024-05-30,4,0,Radweg - Schäden,In der Nähe von Pragstraße 136,48.807059180662,9.1957219913255
2024-05-30T00:26:00,2024-05-30,4,0,Ampel,In der Nähe von Überkinger Straße 2,48.805960458111,9.2131414996053
2024-05-30T00:26:00,2024-05-30,4,0,Ampel,In der Nähe von Aspergstraße 16,48.777098473179,9.2032279186533
2024-05-30T00:26:00,2024-05-30,4,0,Gehweg - Verschmutzung,In der Nähe von Untere Waldplätze 15/1,48.730935064324,9.0862987845897
2024-05-30T00:26:00,2024-05-30,4,0,Gehweg - Verschmutzung,In der Nähe von Neue Weinsteige 110/1,48.757049970664,9.1815112536937
2024-05-30T00:26:00,2024-05-30,4,0,Poller,Wagrainstraße 14,48.833992074909,9.219676224918
2024-05-30T00:26:00,2024-05-30,4,0,Straße - Schäden,Wagrainstraße 21,48.833263618554,9.2195640278916
2024-05-30T00:26:00,2024-05-30,4,0,Sonstiges,Elsässer Straße 8,48.831603020989,9.1694128335154
2024-05-30T00:26:00,2024-05-30,4,0,Wilder Müll,In der Nähe von Schemppstraße 80,48.73918359066,9.2187734466491
2024-05-30T00:26:00,2024-05-30,4,0,Sonstiges,In der Nähe von Krailenshaldenstraße 38,48.8174951,9.1785226
2024-05-30T00:26:00,2024-05-30,4,0,Wilder Müll,In der Nähe von Amstetter Straße 34,48.757550338861,9.2562026892583
2024-05-30T00:26:00,2024-05-30,4,0,Sonstiges,Mörikestraße 62,48.764514135888,9.1611720062265
2024-05-30T00:26:00,2024-05-30,4,0,Sonstiges,Hohenheimer Straße 119,48.764427939771,9.1827674448723
2024-05-30T00:26:00,2024-05-30,4,0,Gefahrenstelle,Eisenbahnstraße 40,48.802743862151,9.2129757236443
2024-05-30T00:26:00,2024-05-30,4,0,Verkehrszeichen,In der Nähe von Udamstraße 80,48.719136325101,9.1437070032159
2024-05-30T00:26:00,2024-05-30,4,0,Straßeneinlauf - verstopft,Richterstraße 10B,48.726846329043,9.1488952186009
2024-05-30T00:26:00,2024-05-30,4,0,Verkehrszeichen,Augustenstraße 46,48.771156999758,9.1648270571502
2024-05-30T00:26:00,2024-05-30,4,0,Gefahrenstelle,Hafenbahnstraße 20A,48.763044001633,9.2653192314342
2024-05-30T00:26:00,2024-05-30,4,0,Schlagloch,Eduard-Pfeiffer-Straße 3,48.788871820745,9.1635916928725
2024-05-30T00:26:00,2024-05-30,4,0,Radweg - Verschmutzung,Industriestraße 48,48.723789523411,9.1236167047771
2024-05-30T00:26:00,2024-05-30,4,0,Gefahrenstelle,Lenbachstraße 105,48.803916898704,9.1671678287216
2024-05-30T00:26:00,2024-05-30,4,0,Straßeneinlauf - verstopft,In der Nähe von Hölderlinplatz 3A,48.78286751715,9.1578763131889
2024-05-30T00:26:00,2024-05-30,4,0,Sonstiges,In der Nähe von Gerätespielfläche (Karl-Benz-Platz),48.779612580923,9.249448801865
2024-05-30T00:26:00,2024-05-30,4,0,Sonstiges,In der Nähe von Schwieberdinger Straße 12A,48.826164564738,9.1687476945703
2024-05-30T00:26:00,2024-05-30,4,0,Sonstiges,In der Nähe von Rotenwaldstraße 116,48.770628978067,9.1425941477643
2024-05-30T05:14:58,2024-05-30,4,5,Wilder Müll,In der Nähe von Stammheimer Straße 66,48.836337521507,9.1632458830836
