2021-04-05T14:28:49,2021-04-05,1,14,Sonstiges,Marktplatz (M) 11,48.775605340887,9.1784714447114
2021-04-05T14:28:49,2021-04-05,1,14,Wilder Müll,In der Nähe von Supperstraße 17,48.718645747269,9.0985793704242
2021-04-05T14:28:49,2021-04-05,1,14,Sonstiges,"In der Nähe von Katzenbach, Gew. 1",48.75307294409,9.2466368070943
2021-04-05T15:33:07,2021-04-05,1,15,Treppe,In der Nähe von Königsplatz 1,48.809052398544,9.2234118736517
2021-04-05T15:33:07,2021-04-05,1,15,Wilder Müll,"In der Nähe von Frauenkopf, Gew. 5",48.761555074529,9.2057304452294
2021-04-05T15:33:07,2021-04-05,1,15,Sonstiges,In der Nähe von Parkplatz Cannstatter Wasen (P9) (Talstraße),48.791867159504,9.2255558075951
2021-04-05T15:33:07,2021-04-05,1,15,Wilder Müll,In der Nähe von Rotenwaldstraße 30,48.770658327571,9.1503674984643
2021-04-05T15:33:07,2021-04-05,1,15,Wilder Müll,In der Nähe von Weißenburgpark,48.764896268039,9.1820694489354
2021-04-05T15:33:07,2021-04-05,1,15,Sonstiges,In der Nähe von Reinsburgstraße 198,48.769511899427,9.1470904620318
2021-04-05T15:33:07,2021-04-05,1,15,Sonstiges,In der Nähe von Rotenwaldstraße 30,48.770713132689,9.1499939573436
2021-04-05T15:33:07,2021-04-05,1,15,Wilder Müll,Zuckerbergstraße 90,48.825290073908,9.2281525965226
2021-04-05T15:33:07,2021-04-05,1,15,Sonstiges,Zuckerbergstraße 90,48.825290073908,9.2281525965226
2021-04-05T15:33:07,2021-04-05,1,15,Sonstiges,Grazer Straße 34,48.810081823573,9.1601187387624
2021-04-05T15:33:07,2021-04-05,1,15,Straße - Schäden,Landhausstraße 14,48.783950243923,9.1910297871311
2021-04-05T17:00:55,2021-04-05,1,17,Wilder Müll,In der Nähe von Kapfenburgstraße 4,48.805720713571,9.1579183001794
2021-04-05T17:00:55,2021-04-05,1,17,Wilder Müll,In der Nähe von Am Klingenbach 55,48.783307411055,9.2138385775132
2021-04-05T17:00:55,2021-04-05,1,17,Sonstiges,In der Nähe von Holzstraße 21/2,48.77547906027,9.1820717019175
2021-04-05T17:00:55,2021-04-05,1,17,Verkehrszeichen,In der Nähe von Fruchtstraße 19,48.756103300015,9.25407748765
2021-04-05T17:00:55,2021-04-05,1,17,Gehweg - Verschmutzung,In der Nähe von Gerätespielfläche (Illerstraße),48.821492360303,9.222608056823
2021-04-05T17:00:55,2021-04-05,1,17,Sonstiges,In der Nähe von Waldenbucher Platz 13,48.742522081579,9.1723677835271
2021-04-05T17:00:55,2021-04-05,1,17,Sonstiges,In der Nähe von Dantestraße 11,48.766648539062,9.1424762550254
2021-04-05T17:00:55,2021-04-05,1,17,Sonstiges,In der Nähe von Obere Paulusstraße 52/1,48.772692100492,9.1481526168014
2021-04-05T17:55:29,2021-04-05,1,17,Gehweg - Schäden,In der Nähe von Brauhofstraße 7,48.757552965218,9.2527373106781
2021-04-05T17:55:29,2021-04-05,1,17,Wilder Müll,In der Nähe von Rosenstraße 30,48.774510867394,9.1831989613212
2021-04-05T17:55:29,2021-04-05,1,17,Wilder Müll,In der Nähe von Wertweg 11,48.840204978448,9.2334760659554
2021-04-05T17:55:29,2021-04-05,1,17,Wilder Müll,In der Nähe von Kemptener Straße 21,48.766624618612,9.2462657437586
2021-04-05T18:46:07,2021-04-05,1,18,Schlagloch,Böblinger Straße 227,48.756383523655,9.1433555755953
2021-04-05T18:46:07,2021-04-05,1,18,Sonstiges,In der Nähe von Reitzensteinstraße 25,48.794203583303,9.1999503671631
2021-04-05T18:46:07,2021-04-05,1,18,Wilder Müll,In der Nähe von Viergiebelweg 1,48.797021470457,9.1743795774732
2021-04-05T19:29:04,2021-04-05,1,19,Wilder Müll,"In der Nähe von Grillplatz Steinsträßle (Hohewart, Gew.)",48.8008096,9.124698
2021-04-05T19:29:04,2021-04-05,1,19,Wilder Müll,In der Nähe von Katzenbacher Hof (Katzenbacher Hof 1),48.747898353487,9.0595579139691
2021-04-05T20:30:03,2021-04-05,1,20,Straße - Verschmutzung,In der Nähe von Skatebahn (Krehlstraße/ Behringstraße),48.722770887095,9.1020173048021
2021-04-05T20:30:03,2021-04-05,1,20,Sonstiges,Heßbrühlstraße 64,48.722276272351,9.1188218895181
2021-04-05T20:30:03,2021-04-05,1,20,Wilder Müll,Marienplatz 1,48.764902255621,9.1678916603066
2021-04-05T21:27:39,2021-04-05,1,21,Wilder Müll,Stuttgarter Straße 53,48.809469483082,9.1607566598717
2021-04-05T21:27:39,2021-04-05,1,21,Wilder Müll,Marbacher Straße 2,48.830408842915,9.1755880824663
2021-04-05T21:27:39,2021-04-05,1,21,Verkehrszeichen,In der Nähe von Bernsteinstraße 143,48.735930735005,9.2247177951574
